Tempo (s),Posi��o X (m),Posi��o Y (m)
8.16,0.071408,0.072476
8.17,0.071344,0.072754
8.19,0.071472,0.073145
8.21,0.071401,0.07349
8.22,0.071192,0.073748
8.24,0.071158,0.074115
8.26,0.071029,0.074662
8.27,0.070732,0.074885
8.29,0.070868,0.075199
8.32,0.070995,0.075974
8.34,0.070951,0.076625
8.37,0.071004,0.077279
8.39,0.071165,0.077632
8.59,0.071984,0.082581
8.61,0.072005,0.082736
8.62,0.071877,0.083185
8.64,0.071744,0.0836
8.71,0.071374,0.084831
8.72,0.071277,0.085334
8.76,0.071318,0.086186
8.79,0.071266,0.087149
8.81,0.071304,0.087537
8.84,0.071597,0.087875
9.02,0.072072,0.092538
9.04,0.071971,0.092977
9.06,0.072017,0.093144
9.08,0.071925,0.093431
9.09,0.071796,0.094116
9.11,0.071799,0.094486
9.13,0.071761,0.094841
9.44,0.073163,0.103374
9.46,0.073039,0.103533
9.49,0.072658,0.104062
9.53,0.072509,0.104881
10.29,0.073648,0.122602
10.31,0.073541,0.122893
10.33,0.073606,0.123173
10.34,0.073716,0.123248
10.36,0.073486,0.123334
10.38,0.073785,0.123503
10.39,0.073572,0.123862
10.41,0.07348,0.123933
10.43,0.073513,0.124003
10.44,0.07317,0.124287
10.46,0.072873,0.124954
10.48,0.072696,0.125243
10.49,0.073135,0.125501
10.51,0.073352,0.125617
10.53,0.073189,0.126013
10.56,0.073304,0.126658
10.58,0.073494,0.126916
10.59,0.0736,0.127054
10.61,0.07325,0.127408
10.63,0.073193,0.127578
10.64,0.073337,0.127785
10.66,0.073203,0.127874
10.68,0.07319,0.128048
10.89,0.073682,0.132416
10.91,0.074003,0.132555
10.93,0.0739,0.132558
10.94,0.073932,0.132611
10.96,0.074278,0.132868
10.98,0.07434,0.133335
10.99,0.074109,0.133028
11.01,0.074122,0.133118
11.03,0.073711,0.133416
11.04,0.073823,0.133519
11.06,0.074046,0.133882
11.08,0.074215,0.134174
11.09,0.073766,0.134351
11.11,0.073383,0.134437
11.13,0.073466,0.134757
11.14,0.073546,0.134836
11.16,0.073581,0.135014
11.18,0.073758,0.136008
11.19,0.073786,0.135932
11.21,0.073695,0.136378
11.23,0.073479,0.136699
11.24,0.073447,0.136589
11.26,0.073399,0.137024
11.28,0.073224,0.137375
11.29,0.073477,0.137679
11.31,0.073597,0.137669
11.33,0.073392,0.137937
11.34,0.073503,0.13795
11.36,0.073174,0.138287
11.56,0.073543,0.141598
11.58,0.07367,0.141956
11.61,0.073793,0.142404
11.63,0.073811,0.142514
11.64,0.073916,0.142528
11.66,0.073922,0.142747
11.68,0.073877,0.142969
11.69,0.073981,0.142987
11.71,0.07377,0.143121
11.73,0.074147,0.143299
11.74,0.073931,0.143532
11.76,0.073837,0.143498
11.78,0.073818,0.143634
11.79,0.073727,0.143857
11.81,0.073729,0.144284
11.83,0.073627,0.144398
11.84,0.073494,0.14471
11.86,0.073646,0.144582
11.88,0.07359,0.145088
11.89,0.073565,0.145205
11.91,0.073601,0.14534
11.93,0.073711,0.145378
11.94,0.073482,0.145659
11.96,0.073903,0.14607
11.98,0.073636,0.146356
11.99,0.073603,0.146638
