Tempo (s),Posi��o X (m),Posi��o Y (m)
5.22,0.086632,0.042163
5.23,0.085612,0.042594
5.25,0.085424,0.042737
5.27,0.084693,0.043755
5.28,0.083828,0.043718
5.3,0.083883,0.044455
5.52,0.085037,0.052528
5.53,0.085071,0.052991
5.55,0.084849,0.053581
5.57,0.08506,0.053916
5.58,0.085096,0.054382
5.6,0.084849,0.054953
5.62,0.084731,0.055182
5.63,0.084829,0.05557
5.65,0.084666,0.055924
5.67,0.084549,0.056461
5.68,0.084558,0.056854
5.7,0.084608,0.057226
5.72,0.084638,0.057762
5.73,0.084491,0.057917
5.75,0.084691,0.058179
5.77,0.084388,0.058439
5.83,0.085496,0.060456
5.85,0.085685,0.060653
5.87,0.085354,0.060811
5.88,0.085701,0.060908
5.9,0.08556,0.061211
5.92,0.085526,0.062099
5.93,0.085559,0.062245
5.95,0.085512,0.062954
5.97,0.085795,0.063501
5.98,0.085582,0.063616
6.0,0.085385,0.063853
6.02,0.085408,0.064429
6.03,0.085579,0.06457
6.05,0.085347,0.06496
6.07,0.084998,0.065416
6.08,0.084933,0.065645
6.1,0.08489,0.066088
6.12,0.08478,0.06652
6.13,0.084832,0.067008
6.15,0.084697,0.067332
6.17,0.084709,0.067538
6.18,0.084807,0.0678
6.2,0.084792,0.068295
6.22,0.08481,0.068579
6.23,0.084794,0.068819
6.25,0.085336,0.069978
6.27,0.0851,0.070228
6.28,0.084984,0.070343
6.3,0.085183,0.070598
6.32,0.085234,0.071167
6.33,0.085505,0.071703
6.35,0.085484,0.071988
6.37,0.085164,0.072601
6.38,0.085235,0.073077
6.4,0.085006,0.073733
6.42,0.08526,0.073754
6.44,0.085331,0.074119
6.45,0.085284,0.074519
6.47,0.085087,0.074854
6.49,0.085173,0.075166
6.5,0.084815,0.075391
6.52,0.084758,0.075699
6.54,0.084773,0.075992
6.55,0.084638,0.076414
6.57,0.08481,0.076766
6.59,0.084731,0.077154
6.6,0.084738,0.077663
6.62,0.084726,0.078001
6.64,0.084698,0.078227
6.65,0.084862,0.078384
6.67,0.084899,0.078941
6.69,0.084741,0.079278
6.7,0.085272,0.080219
6.72,0.085213,0.080548
6.74,0.084985,0.081114
6.75,0.085433,0.081221
6.77,0.085419,0.081915
6.79,0.085436,0.081862
