Tempo (s),Posição X (m),Posição Y (m)
0.0,0.098515,0.006781
0.02,0.098612,0.008245
0.03,0.09816,0.009703
0.05,0.097794,0.011268
0.07,0.097851,0.013978
0.08,0.098061,0.015525
0.1,0.098322,0.016501
0.12,0.098664,0.020375
0.13,0.098672,0.022142
0.15,0.098964,0.024539
0.17,0.09933,0.025764
0.18,0.101875,0.027909
0.2,0.101527,0.029546
0.22,0.102567,0.031935
0.23,0.103721,0.034898
0.25,0.104445,0.036102
0.27,0.104788,0.037897
0.28,0.105189,0.040484
0.3,0.105822,0.043037
0.32,0.106583,0.045155
0.33,0.106932,0.0467
0.35,0.107686,0.048597
0.37,0.108035,0.051121
0.38,0.108586,0.053449
0.4,0.111059,0.055211
0.42,0.112175,0.056417
0.43,0.113017,0.05857
0.45,0.113464,0.060822
0.47,0.114198,0.064131
0.48,0.114981,0.065911
0.5,0.11593,0.067342
0.52,0.116777,0.069915
0.53,0.117122,0.071965
0.55,0.117739,0.074912
0.57,0.118577,0.076008
0.58,0.121441,0.078345
0.6,0.121877,0.079498
0.62,0.122559,0.083215
0.63,0.123542,0.085392
0.65,0.124439,0.086762
0.67,0.124953,0.089881
0.68,0.125626,0.09206
0.7,0.126521,0.09492
0.72,0.127006,0.096212
0.73,0.127906,0.099502
0.75,0.128145,0.101463
0.77,0.129144,0.103748
0.78,0.130968,0.105666
0.8,0.131811,0.108506
0.82,0.132647,0.11128
0.83,0.13359,0.115296
0.85,0.134694,0.116731
0.87,0.136185,0.119209
0.88,0.136369,0.122605
0.9,0.137025,0.124902
0.92,0.137552,0.126273
0.93,0.138796,0.129654
0.95,0.139169,0.13145
0.97,0.141157,0.13423
0.98,0.142443,0.135677
1.0,0.143499,0.13817
1.02,0.143928,0.140684
1.03,0.144834,0.14416
1.05,0.145672,0.145684
1.07,0.146593,0.14756
1.08,0.14719,0.150534
1.1,0.147685,0.153524
1.12,0.148428,0.155387
1.13,0.149484,0.157035
1.15,0.151504,0.158954
1.17,0.152602,0.162262
1.18,0.153434,0.16513
1.2,0.154378,0.166932
1.22,0.155554,0.169695
1.23,0.155889,0.173215
1.25,0.156392,0.175576
1.27,0.156825,0.177056
