Tempo (s),Posição X (m),Posição Y (m)
0.0,0.08626,0.008991
0.02,0.085666,0.0108
0.04,0.085625,0.013468
0.06,0.085817,0.015711
0.07,0.086679,0.018076
0.09,0.086533,0.021398
0.11,0.086241,0.02424
0.12,0.086383,0.026254
0.14,0.087151,0.028161
0.16,0.086887,0.031527
0.17,0.086904,0.034139
0.19,0.087176,0.036173
0.21,0.087911,0.03864
0.22,0.087592,0.041389
0.24,0.087779,0.04406
0.26,0.087993,0.045908
0.27,0.088915,0.048696
0.29,0.089369,0.050715
0.31,0.089805,0.05419
0.32,0.088725,0.05582
0.34,0.089621,0.058852
0.36,0.089873,0.060887
0.37,0.090532,0.064522
0.39,0.091014,0.066251
0.41,0.090621,0.069074
0.42,0.090958,0.07126
0.44,0.09129,0.074964
0.46,0.091875,0.076636
0.47,0.091959,0.079217
0.49,0.092313,0.082476
0.51,0.0926,0.085305
0.52,0.092892,0.087075
0.54,0.093045,0.090324
0.56,0.092823,0.093439
0.57,0.092871,0.095819
0.59,0.093337,0.097702
0.61,0.094158,0.101769
0.62,0.094913,0.105167
0.66,0.095052,0.110935
0.67,0.095317,0.11428
0.71,0.096358,0.11901
0.72,0.096173,0.122889
0.74,0.096394,0.125607
0.76,0.097378,0.127551
0.77,0.097009,0.130962
0.79,0.096805,0.134141
0.81,0.096992,0.13612
0.82,0.097885,0.139071
0.84,0.097532,0.14221
0.86,0.097998,0.144919
0.87,0.098174,0.14662
0.89,0.0988,0.150662
0.91,0.099938,0.153014
0.92,0.098862,0.155535
0.94,0.099384,0.157894
0.96,0.100147,0.160664
0.97,0.100796,0.164469
0.99,0.099715,0.166025
1.01,0.101016,0.169226
1.02,0.101303,0.172022
1.04,0.101956,0.175143
1.06,0.102069,0.177196
1.07,0.102025,0.18022
1.09,0.102606,0.183751
1.11,0.103246,0.18587
1.12,0.103331,0.188164
1.14,0.103624,0.191635
1.16,0.103929,0.194872
1.17,0.104132,0.196889
1.19,0.104516,0.199988
1.21,0.104445,0.203649
1.22,0.104711,0.206096
1.24,0.105532,0.207912
1.26,0.10542,0.211535
1.27,0.105568,0.214977
1.29,0.105399,0.21715
1.31,0.106297,0.220705
1.32,0.105815,0.223718
1.34,0.105989,0.226246
1.36,0.106523,0.228762
1.37,0.106018,0.232445
1.39,0.10627,0.235258
1.41,0.105998,0.237358
1.42,0.106516,0.240924
1.44,0.105867,0.243901
1.46,0.105654,0.246495
1.47,0.106078,0.248553
1.49,0.10535,0.251931
1.51,0.105062,0.255097
1.52,0.104659,0.256856
1.54,0.104584,0.259788
1.56,0.104046,0.263033
1.57,0.103664,0.265532
1.59,0.103395,0.267655
1.61,0.102166,0.270324
1.62,0.101433,0.274037
1.64,0.099927,0.275359
1.66,0.10134,0.27854
1.67,0.098884,0.281451
1.69,0.098094,0.284575
1.71,0.097477,0.286395
1.72,0.097315,0.289795
1.74,0.096375,0.292496
1.76,0.096028,0.29531
1.77,0.095549,0.297007
1.79,0.095417,0.300251
1.81,0.094487,0.302812
